kind,en,it,source
ability,Adaptability,Adattabilità,pokeapi:ability_names.csv
ability,Aerilate,Pellecielo,pokeapi:ability_names.csv
ability,Aftermath,Scoppio,pokeapi:ability_names.csv
ability,Air Lock,Riparo,pokeapi:ability_names.csv
ability,Analytic,Ponderazione,pokeapi:ability_names.csv
ability,Anger Point,Grancollera,pokeapi:ability_names.csv
ability,Anger Shell,Iraguscio,pokeapi:ability_names.csv
ability,Anticipation,Presagio,pokeapi:ability_names.csv
ability,Arena Trap,Trappoarena,pokeapi:ability_names.csv
ability,Armor Tail,Codarmatura,pokeapi:ability_names.csv
ability,Aroma Veil,Aromavelo,pokeapi:ability_names.csv
ability,As One,Sintonia Equina,pokeapi:ability_names.csv
ability,Aura Break,Frangiaura,pokeapi:ability_names.csv
ability,Bad Dreams,Sogniamari,pokeapi:ability_names.csv
ability,Ball Fetch,Raccattapalle,pokeapi:ability_names.csv
ability,Battery,Batteria,pokeapi:ability_names.csv
ability,Battle Armor,Lottascudo,pokeapi:ability_names.csv
ability,Battle Bond,Morfosintonia,pokeapi:ability_names.csv
ability,Beads of Ruin,Monile Nefasto,pokeapi:ability_names.csv
ability,Beast Boost,Ultraboost,pokeapi:ability_names.csv
ability,Berserk,Furore,pokeapi:ability_names.csv
ability,Big Pecks,Pettinfuori,pokeapi:ability_names.csv
ability,Blaze,Aiutofuoco,pokeapi:ability_names.csv
ability,Bulletproof,Antiproiettile,pokeapi:ability_names.csv
ability,Cheek Pouch,Guancegonfie,pokeapi:ability_names.csv
ability,Chilling Neigh,Nitrito Bianco,pokeapi:ability_names.csv
ability,Chlorophyll,Clorofilla,pokeapi:ability_names.csv
ability,Clear Body,Corpochiaro,pokeapi:ability_names.csv
ability,Cloud Nine,Antimeteo,pokeapi:ability_names.csv
ability,Color Change,Cambiacolore,pokeapi:ability_names.csv
ability,Comatose,Sonno Assoluto,pokeapi:ability_names.csv
ability,Commander,Torre di Comando,pokeapi:ability_names.csv
ability,Competitive,Tenacia,pokeapi:ability_names.csv
ability,Compound Eyes,Insettocchi,pokeapi:ability_names.csv
ability,Contrary,Inversione,pokeapi:ability_names.csv
ability,Corrosion,Corrosione,pokeapi:ability_names.csv
ability,Costar,Coprotagonismo,pokeapi:ability_names.csv
ability,Cotton Down,Lanugine,pokeapi:ability_names.csv
ability,Cud Chew,Ruminante,pokeapi:ability_names.csv
ability,Curious Medicine,Stranofarmaco,pokeapi:ability_names.csv
ability,Cursed Body,Corpofunesto,pokeapi:ability_names.csv
ability,Cute Charm,Incantevole,pokeapi:ability_names.csv
ability,Damp,Umidità,pokeapi:ability_names.csv
ability,Dancer,Sincrodanza,pokeapi:ability_names.csv
ability,Dark Aura,Auratetra,pokeapi:ability_names.csv
ability,Dauntless Shield,Scudo Saldo,pokeapi:ability_names.csv
ability,Dazzling,Corposgargiante,pokeapi:ability_names.csv
ability,Defeatist,Sconforto,pokeapi:ability_names.csv
ability,Defiant,Agonismo,pokeapi:ability_names.csv
ability,Delta Stream,Flusso Delta,pokeapi:ability_names.csv
ability,Desolate Land,Terra Estrema,pokeapi:ability_names.csv
ability,Disguise,Fantasmanto,pokeapi:ability_names.csv
ability,Download,Download,pokeapi:ability_names.csv
ability,Dragonize,Pelledrago,pokeapi:ability_names.csv
ability,Dragon’s Maw,Dragomascelle,pokeapi:ability_names.csv
ability,Drizzle,Piovischio,pokeapi:ability_names.csv
ability,Drought,Siccità,pokeapi:ability_names.csv
ability,Dry Skin,Pellearsa,pokeapi:ability_names.csv
ability,Early Bird,Sveglialampo,pokeapi:ability_names.csv
ability,Earth Eater,Mangiaterra,pokeapi:ability_names.csv
ability,Effect Spore,Spargispora,pokeapi:ability_names.csv
ability,Electric Surge,Elettrogenesi,pokeapi:ability_names.csv
ability,Electromorphosis,Convertivolt,pokeapi:ability_names.csv
ability,Embody Aspect,Albergamemorie,pokeapi:ability_names.csv
ability,Emergency Exit,Passoindietro,pokeapi:ability_names.csv
ability,Fairy Aura,Aurafolletto,pokeapi:ability_names.csv
ability,Filter,Filtro,pokeapi:ability_names.csv
ability,Flame Body,Corpodifuoco,pokeapi:ability_names.csv
ability,Flare Boost,Bruciaimpeto,pokeapi:ability_names.csv
ability,Flash Fire,Fuocardore,pokeapi:ability_names.csv
ability,Flower Gift,Regalfiore,pokeapi:ability_names.csv
ability,Flower Veil,Fiorvelo,pokeapi:ability_names.csv
ability,Fluffy,Morbidone,pokeapi:ability_names.csv
ability,Forecast,Previsioni,pokeapi:ability_names.csv
ability,Forewarn,Premonizione,pokeapi:ability_names.csv
ability,Friend Guard,Amicoscudo,pokeapi:ability_names.csv
ability,Frisk,Indagine,pokeapi:ability_names.csv
ability,Full Metal Body,Metalprotezione,pokeapi:ability_names.csv
